Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (escribirArchivoContactosEditado) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,EditarEmpresaController,Law of Demeter violation,The tool detected the smell in this method (EscribirArchivoCamposAdEditados) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ListTDA.LLDouble; Clases.Foto
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: listaFotosAsociadas (40); nombreImagen (43); imagenActual (44)
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (eliminarFoto) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.isEmpty
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (eliminarFoto) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.size
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (eliminarFoto) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.size
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (mostrarAnterior) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.isEmpty
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (mostrarAnterior) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.size
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (mostrarSiguiente) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.isEmpty
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (mostrarSiguiente) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Foto.getListaImagenesAsociadas; ListTDA.LLDouble.size
ProyectoEstructuras-main,Controller,ImagenesAsociadasController,Law of Demeter violation,The tool detected the smell in this method (presentarImagen) because the method voilates the law of Demeter. The long chain of method invocations is : ListTDA.LLDouble.get; Clases.Foto.getListaImagenesAsociadas
ProyectoEstructuras-main,Controller,ListaContactosController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ListTDA.LLDouble; ListTDA.ArrayG9; Clases.Contacto
ProyectoEstructuras-main,Controller,ListaContactosController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: contactoSelected (58); nombreSelected (59); apellidoSelected (60); contAdicional (61); redSoc (62); empresa (63); typeContactAdicional (64); typeRedSocial (65); selectedIndex (66); etiquetasPersonas (67); viewContactosCopia (68); listaContactos (69); lstCamposAdicionales (70); listViewContactos (71); contenedorList (72); pathFiles (73); ltitleApellido (74); ltitleDireccion (75); ltitleConAdicional (76); ltitlEtiquetas (77); cbEContacto (78); txdatoAbuscar (79); ponertexto (80)
ProyectoEstructuras-main,Controller,ListaContactosController,Law of Demeter violation,The tool detected the smell in this method (listContactosSettings) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,ListaContactosController,Law of Demeter violation,The tool detected the smell in this method (listContactosSettings) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,ListaContactosController,Law of Demeter violation,The tool detected the smell in this method (listContactosCopiaSettings) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,ListaContactosController,Law of Demeter violation,The tool detected the smell in this method (listContactosCopiaSettings) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,ListaContactosController,Law of Demeter violation,The tool detected the smell in this method (filtrarPorDireccion) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,LoginController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: mapaUsuarios (29)
ProyectoEstructuras-main,Controller,PerfilContactoController,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: lstfotoPerfiles (59); contactoActual (61); contactoActualAdicional (62)
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getTlf; Clases.Telefono.getTipoTlf
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (mostrarPersonaActual) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (showInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (showInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (showInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getUsername
ProyectoEstructuras-main,Controller,PerfilContactoController,Law of Demeter violation,The tool detected the smell in this method (showInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getRedSocial; Clases.RedSocial.getTipoRedSocial
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Telefono.getTlf; Clases.Contacto.getTlf
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getCorreo
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getEmail; Clases.Email.getTipo
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getFecha; Clases.Fecha.getTipoFecha
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Fecha.getFecha; Clases.Contacto.getFecha
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Contacto.getDir; Clases.Direccion.getUbicacion
ProyectoEstructuras-main,Controller,VistaContactoIndividualController,Law of Demeter violation,The tool detected the smell in this method (mostrarInfo) because the method voilates the law of Demeter. The long chain of method invocations is : Clases.Direccion.getTipoDireccion; Clases.Contacto.getDir
ProyectoEstructuras-main,ListTDA,LLDouble,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: ListTDA.NodeList
ProyectoEstructuras-main,ListTDA,LLDouble,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : ListTDA.LLDouble.getLast; ListTDA.NodeList.setSiguiente
ProyectoEstructuras-main,ListTDA,LLDouble,Law of Demeter violation,The tool detected the smell in this method (removeLast) because the method voilates the law of Demeter. The long chain of method invocations is : ListTDA.NodeList.setSiguiente; ListTDA.NodeList.getSiguiente
